STN_ID,SITE_CODE,WELL_NAME,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,SWN,WCR_NO,LATITUDE,LONGITUDE,WELL_USE,WELL_TYPE,WELL_DEPTH,TOP_PRF,BOT_PRF,LAST_GSE,LAST_RPE,SMC_START_DATE,SMC_MT,SMC_IM_5_YR,SMC_IM_10_YR,SMC_IM_15_YR,SMC_MO,COMMENTS,FIRST_MSMT_DATE,LAST_MSMT_DATE,MSMT_COUNT
14184,371735N1209954W001,1014 (CCID Well 14),5-022.07 Delta-Mendota,San Joaquin River Exchange Contractors GSA,DM_SJREC_Adopted,SGMA Representative,"Groundwater Levels,Groundwater Storage",,09S09E05R001M,,37.1735,-120.995,Irrigation,Single Well,120,52,112,112,114.5,2020-01-23 13:30:54,59.8,,,,76.72,,1960-01-01 00:00:00,2023-09-15 09:54:00,67
14268,367755N1202599W001,13S16E30A001M,5-022.07 Delta-Mendota,Aliso Water District GSA,Aliso WD GSA,SGMA Representative,Groundwater Levels,,13S16E30A001M,119270,36.7761,-120.259,Irrigation,Single Well,380,190,380,177.42,178.92,2020-01-23 13:30:54,37.7,51.9,51.9,51.9,51.9,Well 53,1967-02-10 00:00:00,2023-10-04 00:00:00,94
14539,390104N1228306W001,13N-09W-02C2,5-015 Big Valley,Big Valley GSA,,SGMA Representative,"Groundwater Levels,Interconnected Surface Waters",,13N09W02C002M,,39.0104,-122.831,Irrigation,Single Well,,,,1347.83,1348.53,2022-01-31 10:31:49,1318.5,1332.1,1332.1,1332.1,1332.1,,1948-10-20 00:00:00,2023-10-03 00:00:00,162
14570,369247N1213896W001,12-5-03B1,3-003.05 North San Benito,San Benito County Water District GSA,,SGMA Representative,Groundwater Levels,,12S05E03B001M,,36.9247,-121.407,Irrigation,Single Well,139,100,126,181,182,2022-01-12 18:02:03,86,,,,86,Pacheco,1937-11-01 00:00:00,2023-10-27 11:31:00,111
14577,368736N1214010W001,2294,3-003.05 North San Benito,San Benito County Water District GSA,,SGMA,Groundwater Levels,,12S05E22J002M,,36.8736,-121.401,Irrigation,Single Well,355,120,338,250,250,,,,,,,Hollister East,1980-03-01 00:00:00,2023-10-23 14:05:00,62
14580,368922N1213510W001,3459,3-003.05 North San Benito,San Benito County Water District GSA,,SGMA,Groundwater Levels,,12S06E18G001M,,36.892,-121.351,Irrigation,Single Well,198,70,185,302,303,,,,,,,Hollister East,1948-04-01 00:00:00,2023-10-23 11:38:00,97
14682,389909N1229116W001,13N-09W-07E1,5-015 Big Valley,Big Valley GSA,,SGMA,Groundwater Levels,,13N09W07E001M,,38.9909,-122.912,Residential,Single Well,20,,,1395.15,1399.85,,,,,,,,1948-11-01 00:00:00,2021-03-30 00:00:00,121
14696,389800N1228443W001,13N-09W-15B2,5-015 Big Valley,Big Valley GSA,,SGMA Representative,"Groundwater Levels,Interconnected Surface Waters",,13N09W15B002M,,38.98,-122.844,Irrigation,Single Well,68,,,1378.86,1379.56,2022-01-31 10:31:49,1352.7,1359.9,1359.9,1359.9,1359.9,,1948-10-25 00:00:00,2021-10-06 14:46:00,136
15381,389424N1228464W001,13N-09W-27Q1,5-015 Big Valley,Big Valley GSA,,SGMA,Groundwater Levels,,13N09W27Q001M,,38.9424,-122.846,Residential,Single Well,,,,1437.93,1438.73,,,,,,,,1965-11-19 00:00:00,2023-10-03 00:00:00,114
15385,389535N1228968W001,13N-09W-30A1,5-015 Big Valley,Big Valley GSA,,SGMA,Groundwater Levels,,13N09W30A001M,,38.9535,-122.897,Residential,Single Well,,,,1422.7,1422.7,,,,,,,,1948-11-03 00:00:00,2023-10-03 00:00:00,137
15928,362694N1195393W001,KSB-0856,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,"Groundwater Levels,Groundwater Storage",,19S22E24B001M,771 Kings,36.2694,-119.539,Stockwatering,Single Well,160,,,243.4,244.4,2020-01-31 14:06:02,25,90,80,65,48,Open Bottom Well - Casing to 124 ft.,1969-09-24 00:00:00,2023-10-16 12:00:00,93
16087,365764N1195754W001,CID28,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,"Groundwater Levels,Groundwater Storage",,15S22E33R001M,,36.5761,-119.575,Observation,Single Well,,,,319.84,320.34,2020-01-28 12:21:01,203.3,248.61,244.07,241.05,240.1,CID #28,1946-06-01 00:00:00,2023-09-15 08:22:00,195
16127,396097N1218487W001,20N01E10C002M,5-021.70 Butte,Vina GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters,Land Subsidence,Water Quality",Single Principle Aquifer,20N01E10C002M,2410,39.6097,-121.849,Irrigation,Single Well,210,20,120,127.35,128.35,2022-01-28 11:24:29,20,93,92,92,92,BMO DURHAM DAYTON Drilled in 1946; USBR record states  screen interval & depth,1947-03-31 00:00:00,2024-03-14 12:00:00,261
16285,395826N1217545W001,20N02E16P001M,5-021.70 Butte,County of Butte GSA - Butte 1,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Primary Aquifer,20N02E16P001M,,39.5831,-121.754,Irrigation,Single Well,466,,,131.83,135.23,2022-01-28 11:09:09,52,102,102,102,102,BMO WCWD No data on record,1990-10-12 00:00:00,2024-03-18 12:00:00,450
16292,392475N1216005W001,YCWA-03,5-021.60 North Yuba,Yuba Water Agency GSA - North Yuba,,SGMA Representative,Groundwater Levels,,16N03E14B004M,454097,39.248,-121.6,Observation,Single Well,190,170,190,77.71,77.08,2020-01-31 16:17:22,2,50,50,50,50,,1995-05-11 00:00:00,2023-10-16 00:00:00,252
16295,392191N1215847W001,YCWA-02,5-021.60 North Yuba,Yuba Water Agency GSA - North Yuba,,SGMA Representative,Groundwater Levels,,16N03E25B001M,454169,39.2195,-121.584,Observation,Single Well,200,180,200,74.12,73.6,2020-01-31 16:17:22,-2,54,54,54,54,,1995-09-26 00:00:00,2023-10-16 00:00:00,317
16308,392629N1222754W001,16N04W02P001M,5-021.52 Colusa,Colusa Groundwater Authority GSA - Colusa,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama,16N04W02P001M,77484,39.2629,-122.275,Stockwatering,Single Well,203,112,203,162.53,163.03,2022-01-28 16:44:56,63,139,139,139,139,"""LORENS, 1977"". DWR Surveyed well in 2022.",1975-02-11 00:00:00,2024-03-11 00:00:00,163
16327,389233N1218022W001,12N01E01A001M,5-021.62 Sutter,Reclamation District No. 1500 GSA,,SGMA Representative,Interconnected Surface Waters,,12N01E01A001M,,38.9233,-121.802,Unknown,Single Well,75,,,29.31,30.41,,,,,,,,1941-10-24 00:00:00,2021-03-11 09:45:00,128
16378,393976N1219617W001,18N01W22L001M,5-021.70 Butte,County of Butte GSA - Butte 1,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Primary Aquifer,18N01W22L001M,117,39.3976,-121.962,Irrigation,Single Well,124,76,124,72.39,72.89,2022-01-28 11:09:09,23,55,55,55,55,Take farm road @ corner and turn south on east side of irrigation ditch.  Well is usually oily.  Tape often hangs up.,1953-03-11 00:00:00,2023-10-18 00:00:00,246
16657,363274N1197327W001,18S21E31B001M,5-022.12 Tulare Lake,Mid-Kings River GSA,,SGMA Representative,Groundwater Levels,"Above E Clay
",18S21E31B001M,,36.3274,-119.733,Unknown,Single Well,,,,241.792,241.792,2020-01-29 11:57:23,17.13,81.91,74.48,67.74,67.13,,1963-12-21 00:00:00,2023-10-09 15:11:00,110
16799,395435N1216466W001,20N03E33L001M,5-021.57 Vina,Vina GSA,,SGMA,"Groundwater Levels,Groundwater Storage",Single Principle Aquifer,20N03E33L001M,,39.5436,-121.647,Other,Single Well,101,13,101,151.33,152.93,,,,,,,Cherokee SIU: Well Construction is from video (poor quality),1999-08-12 00:00:00,2024-03-15 12:00:00,159
16916,394164N1216790W001,18N03E18F001M,5-021.70 Butte,County of Butte GSA - Butte 1,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Primary Aquifer,18N03E18F001M,1970,39.4164,-121.679,Irrigation,Single Well,462,,,99.8,100.9,2022-01-28 11:09:09,56,86,86,86,86,,1947-03-23 00:00:00,2024-03-15 12:00:00,262
16921,394283N1215586W001,18N04E08M001M,5-021.69 Wyandotte Creek,Wyandotte Creek GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters,Land Subsidence,Water Quality",Single Principle Aquifer,18N04E08M001M,2208,39.4283,-121.559,Irrigation,Single Well,656,168,244,147.26,147.56,2022-01-28 11:24:15,59,87,85,85,86,,1961-05-02 00:00:00,2024-03-15 12:00:00,230
17002,363856N1194443W001,KSB-1214,5-022.11 Kaweah,Greater Kaweah GSA,Kaweah Subbasin - Greater Kaweah GSP,SGMA Representative,"Groundwater Levels,Groundwater Storage",,18S23E02Q001M,,36.3856,-119.444,Irrigation,Single Well,,,,278.5,280,2020-01-31 14:06:02,87,155,145,135,124,,1952-02-21 00:00:00,2023-10-30 12:00:00,139
17174,395496N1220839W001,20N02W33B001M,5-021.52 Colusa,Glenn Groundwater Authority GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama,20N02W33B001M,3686,39.5496,-122.084,Observation,Single Well,326,100,320,105.41,107.01,2022-01-28 16:44:56,31,100,100,100,100,,1997-08-11 00:00:00,2023-10-13 13:24:00,141
17193,389669N1214897W001,13N04E23A002M,5-021.64 North American,South Sutter Water District GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters,Land Subsidence",,13N04E23A002M,8633,38.9665,-121.49,Residential,Single Well,83,,,59.28,59.28,2022-01-24 21:52:49,26,48.5,47,45.5,45,DWR Surveyed well in 2022.,1963-03-06 00:00:00,2024-04-02 00:00:00,277
